CPD,OUTLIER,TOXICITY,AVERAGE_POINTS,MIN_FC,AUC,BOUNDS,CONCENTRATION,RESPONSE
cpd567,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.675,0.815,0.905,1.006,0.996,0.992,1.022,1.018"
cpd568,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.346,0.51,0.776,0.915,0.965,0.977,1.004,0.975"
cpd569,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.344,0.684,0.958,1.007,1.012,0.981,0.977,0.988"
cpd570,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.685,0.933,0.959,0.987,1.004,1,1.03,0.985"
cpd571,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.516,0.878,0.984,0.967,1.009,0.976,1.028,1.004"
cpd572,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.806,0.928,1.007,1.018,1.007,1.047,1.022,0.993"
cpd573,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.572,0.778,0.885,0.982,1,0.981,0.969,1.006"
cpd574,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.2928,0.74,0.919,0.99,1.003,0.999,1,1.03"
cpd575,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.832,0.929,1.01,1.001,0.944,1.042,0.989,1.004"
cpd576,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.694,0.866,0.967,0.983,0.987,0.978,0.991,1.015"
